id,salary
30001,10290.66546
30002,10315.46468
30003,10360.80374
30004,10360.80374
30005,11245.78225
30006,10639.48087
30007,10360.80374
30008,12290.15021
30009,9208.448005
30010,10290.66546
30011,8743.148692
30012,14541.35325
30013,11241.26097
30014,9016.308784
30015,6998.625702
30016,10360.80374
30017,10319.02011
30018,10880.68251
30019,7811.343023
30020,7811.343023
30021,10151.19689
30022,10313.20405
30023,10103.76158
30024,8980.697432
30025,11254.8248
30026,12100.10907
30027,6848.871889
30028,5175.937866
30029,10139.8937
30030,6491.461479
30031,10286.14418
30032,10313.20405
30033,8749.507126
30034,11617.98898
30035,10639.48087
30036,10360.80374
30037,10360.80374
30038,10054.90256
30039,9430.140504
30040,11254.8248
30041,12353.28932
30042,10301.96865
30043,6998.625702
30044,14342.90694
30045,10108.24477
30046,6998.625702
30047,13626.89033
30048,11264.48669
30049,8494.927956
30050,11417.56755
30051,10315.46468
30052,8511.387437
30053,8492.907324
30054,10304.22929
30055,9430.140504
30056,8993.702406
30057,11252.56416
30058,10301.96865
30059,8492.907324
30060,8740.00787
30061,10304.22929
30062,10373.63308
30063,8272.449259
30064,9723.368323
30065,7240.401757
30066,10421.95611
30067,10360.80374
30068,10304.22929
30069,9861.177037
30070,4827.553803
30071,9392.185923
30072,8481.364129
30073,11953.48324
30074,10394.98721
30075,7943.478226
30076,9538.53165
30077,8492.907324
30078,11254.8248
30079,11254.8248
30080,5979.535347
30081,8506.866162
30082,7915.414956
30083,8492.907324
30084,10304.22929
30085,7111.881431
30086,10304.22929
30087,8481.604135
30088,6482.418928
30089,11056.77734
30090,9382.658224
30091,13509.51042
30092,10360.80374
30093,8995.963044
30094,10064.59901
30095,5991.39739
30096,9361.051336
30097,11214.14264
30098,6011.901908
30099,11164.23825
30100,8993.702406
30101,9507.200228
30102,10887.46442
30103,8581.825424
30104,5961.450244
30105,10125.37735
30106,10887.78193
30107,3578.89236
30108,11252.56416
30109,10304.22929
30110,8506.866162
30111,5965.97152
30112,9432.559896
30113,8665.231484
30114,12351.02868
30115,9567.881861
30116,8583.918188
30117,8471.051545
30118,5563.807513
30119,10903.16539
30120,8495.918562
30121,10904.35655
30122,10776.68566
30123,11568.05169
30124,9005.005595
30125,8484.297864
30126,6485.435254
30127,8276.970534
30128,8492.907324
30129,8977.877941
30130,10290.66546
30131,10970.13122
30132,10086.9334
30133,6489.200841
30134,10903.16539
30135,9430.140504
30136,11856.99641
30137,10360.80374
30138,10819.63778
30139,10360.80374
30140,11254.8248
30141,10877.46935
30142,10290.66546
30143,7183.239647
30144,8492.907324
30145,5965.97152
30146,8752.936681
30147,6489.200841
30148,12555.69142
30149,6998.625702
30150,13226.53239
30151,10550.7901
30152,11254.8248
30153,9528.180985
30154,10304.22929
30155,10299.70801
30156,12464.08185
30157,9875.154859
30158,13284.80542
30159,10313.20405
30160,10887.46442
30161,5981.319723
30162,13196.55795
30163,6998.625702
30164,9254.119375
30165,10360.80374
30166,12362.33456
30167,7399.131828
30168,8785.265137
30169,10789.24089
30170,12290.15021
30171,10056.62336
30172,11252.56416
30173,11606.6858
30174,9188.102265
30175,8741.633492
30176,10612.35322
30177,2677.831045
30178,11693.50266
30179,10288.40482
30180,9016.308784
30181,13410.09302
30182,9723.368323
30183,10955.70691
30184,11252.56416
30185,11309.69944
30186,10634.9596
30187,7351.264861
30188,10382.064
30189,10263.47001
30190,10299.70801
30191,9723.368323
30192,13172.09968
30193,10464.83382
30194,12353.28932
30195,10153.45753
30196,5981.795985
30197,10701.56859
30198,10475.10242
30199,10301.96865
30200,11597.08439
30201,9425.777982
30202,9361.051336
30203,5961.450244
30204,10047.71528
30205,10304.22929
30206,12287.88957
30207,10299.70801
30208,9430.140504
30209,8276.970534
30210,10299.70801
30211,10483.87145
30212,8319.445955
30213,8272.449259
30214,10360.80374
30215,10313.20405
30216,9430.140504
30217,11019.86525
30218,11253.1835
30219,10304.22929
30220,7492.426523
30221,8785.265137
30222,8942.069826
30223,13626.89033
30224,8483.864773
30225,11606.6858
30226,10442.9767
30227,8492.907324
30228,9459.452634
30229,9394.605315
30230,8484.297864
30231,10055.55646
30232,7351.264861
30233,8506.866162
30234,8944.094856
30235,11009.41537
30236,8511.387437
30237,10290.66546
30238,8411.460915
30239,11394.96117
30240,10299.70801
30241,7400.802058
30242,6676.839743
30243,9016.308784
30244,10360.80374
30245,8317.263256
30246,11398.37801
30247,10290.66546
30248,9577.134748
30249,10483.87145
30250,11254.8248
30251,8492.907324
30252,12107.56408
30253,11242.03906
30254,10290.66546
30255,9459.452634
30256,6998.625702
30257,8561.311809
30258,6998.625702
30259,10299.70801
30260,7454.291425
30261,8133.895559
30262,7235.880482
30263,6998.625702
30264,5961.450244
30265,10313.20405
30266,11417.56755
30267,10295.18674
30268,8481.364129
30269,11417.56755
30270,10360.80374
30271,10030.7219
30272,10903.16539
30273,10903.16539
30274,10360.80374
30275,8504.605524
30276,4797.923269
30277,14613.78541
30278,8785.265137
30279,8946.591102
30280,11490.38285
30281,11236.73969
30282,8492.907324
30283,9617.222223
30284,10483.87145
30285,5961.450244
30286,9430.140504
30287,12397.45016
30288,10273.07008
30289,7664.519474
30290,8915.543607
30291,6344.500484
30292,10299.70801
30293,9432.401142
30294,10442.9767
30295,9016.308784
30296,10304.22929
30297,12367.48816
30298,11694.36553
30299,9723.368323
30300,11490.38285
30301,10299.70801
30302,10360.80374
30303,10308.00978
30304,7229.423425
30305,9014.048147
30306,5961.450244
30307,11602.16452
30308,6480.15829
30309,10701.56859
30310,9185.841627
30311,11245.78225
30312,3232.79319
30313,5173.093242
30314,12328.4223
30315,10299.70801
30316,10298.06714
30317,10131.54455
30318,10290.66546
30319,8276.970534
30320,12591.15939
30321,5972.753433
30322,9016.308784
30323,8476.842853
30324,8664.241887
30325,9425.777982
30326,9706.735045
30327,8513.330567
30328,10360.80374
30329,8754.451881
30330,9430.140504
30331,11091.00442
30332,10304.22929
30333,6679.100381
30334,9722.277346
30335,6379.997748
30336,7395.05526
30337,10320.10674
30338,10360.80374
30339,7400.802058
30340,9527.387215
30341,11254.8248
30342,12553.43078
30343,7728.134842
30344,11254.8248
30345,8446.093689
30346,7112.509557
30347,11236.73969
30348,10973.24517
30349,10483.87145
30350,11856.99641
30351,8276.970534
30352,10064.59901
30353,9861.177037
30354,9601.397758
30355,10637.22023
30356,10270.80944
30357,10483.87145
30358,8785.265137
30359,8995.963044
30360,10290.66546
30361,9601.397758
30362,6670.057829
30363,8750.676043
30364,10304.22929
30365,5991.39739
30366,6446.172559
30367,9599.13712
30368,9788.220157
30369,13576.77204
30370,10299.70801
30371,10273.07008
30372,10054.90256
30373,11254.8248
30374,8484.297864
30375,8750.358535
30376,12555.69142
30377,5961.450244
30378,10360.80374
30379,9376.202704
30380,10476.13701
30381,9432.401142
30382,9016.308784
30383,6998.625702
30384,8858.239846
30385,11038.64491
30386,11253.1835
30387,8486.87601
30388,6998.625702
30389,11602.64078
30390,10605.72494
30391,10301.96865
30392,10360.80374
30393,10313.20405
30394,8743.148692
30395,10464.83382
30396,10131.54455
30397,8743.89413
30398,8481.604135
30399,9382.379651
30400,10313.20405
30401,9016.308784
30402,10453.92298
30403,10158.45506
30404,4629.325193
30405,10360.80374
30406,9018.569422
30407,6998.625702
30408,10315.46468
30409,10129.28391
30410,10701.56859
30411,10301.96865
30412,10955.70691
30413,7342.381063
30414,9430.140504
30415,9723.368323
30416,8785.265137
30417,12353.76558
30418,4823.032528
30419,6998.625702
30420,11816.39487
30421,9384.701103
30422,9018.569422
30423,10360.80374
30424,11164.23825
30425,10299.12598
30426,10089.19404
30427,5965.97152
30428,5979.535347
30429,7624.691907
30430,10035.08442
30431,10824.38335
30432,11358.05052
30433,8754.451881
30434,10123.11671
30435,10026.97175
30436,9425.777982
30437,8710.465195
30438,11693.50266
30439,5961.450244
30440,10360.80374
30441,9000.484319
30442,10299.70801
30443,8492.907324
30444,6998.625702
30445,8975.617303
30446,9423.35859
30447,9005.005595
30448,10131.54455
30449,11254.8248
30450,8481.364129
30451,7111.881431
30452,10360.80374
30453,9430.140504
30454,8754.451881
30455,5981.795985
30456,10127.95549
30457,11763.834
30458,10110.50541
30459,6925.237368
30460,8741.633492
30461,10904.35655
30462,7238.14112
30463,10108.24477
30464,9016.308784
30465,6998.625702
30466,10701.56859
30467,14618.30669
30468,9432.559896
30469,13273.50223
30470,13069.92139
30471,10819.63778
30472,10112.76605
30473,11010.1302
30474,6998.625702
30475,12817.83384
30476,10035.08442
30477,10301.96865
30478,7111.881431
30479,11232.21842
30480,7111.881431
30481,10456.85804
30482,10290.66546
30483,6998.625702
30484,8486.558502
30485,9430.140504
30486,8494.927956
30487,11254.8248
30488,6998.625702
30489,12817.83384
30490,8764.557379
30491,13220.00261
30492,10288.40482
30493,9016.308784
